序列,单词,词义
1947,welfare,n. 福利；福利事业；幸福；安宁
1957,initial,adj. 最初的；字首的
1965,league,n. 联盟；社团；范畴
1970,rush,n. 匆促；急流；冲进；灯心草
1971,necessarily,adv. 必要地；必定地，必然地
1980,resolution,n. 决议；决心；分辨率；解决
1988,sector,n. 部门；扇形，扇区；象限仪；函数尺
2044,land,n. 陆地；地面；国土
2059,assess,vt. 评定；估价；对…征税
2065,addition,n. 添加；增加物；加法
2084,potential,n. 可能性；潜能；电势
2094,curriculum,n. 课程
2111,criticism,n. 批评；苛求；考证
2112,asset,n. 资产；有用的东西；有利条件；优点
2130,priority,n. 优先；优先权；优先次序；优先考虑的事
2132,creation,n. 创造，创作；创作物，产物
2136,scream,vi. 尖叫；发出尖锐刺耳的声音；呼啸；令人触目惊心
2153,primarily,adv. 主要地，根本上；首先
2179,silent,adj. 沉默的；寂静的；无记载的
2199,immediate,adj. 直接的；立即的；最接近的
2209,bother,vt. 烦扰，打扰；使……不安；使……恼怒
2246,resistance,n. 抵抗；抵抗力；反抗；电阻；阻力
2251,stream,n. 溪流；流动；光线；潮流
2272,philosophy,n. 哲学；哲理；人生观
2279,negotiation,n. 谈判；转让；[口语]顺利的通过
2285,elect,adj. 选出的；当选的；卓越的
2298,discipline,n. 纪律；学科；训练；惩罚
2305,implement,vt. 实现，使生效；实施，执行
2374,evaluation,n. 评价；估价；评估；求值
2394,distribution,n. 分配；分布
2408,constant,adj. 不变的；恒定的；经常的
2414,capable,adj. 能干的，能胜任的；有才华的
2419,crucial,adj. 决定性的；重要的；定局的；决断的
2425,deficit,n. 赤字；不足额
2427,objective,adj. 客观的；目标的；[语法学]宾格的
2432,reputation,n. 声望；名声，名誉
2448,personnel,n. 全体人员；人事部门
2479,due,adj. 到期的；应得的；应付的；预期的
2482,pretty,adj. 漂亮的；可爱的；优美的
2485,strike,vi. 罢工；打，打击；敲，敲击；抓；穿透；打动
2507,occasionally,adv. 偶而，间或
2509,consideration,n. 考虑；报酬；原因；关心
2511,secure,adj. 安全的；无虑的；有把握的；稳当的
2522,enterprise,n. 企业；事业；进取心；事业心
2565,negotiate,vt. 谈判，商议；越过；转让
2567,substantial,adj. 大量的；实质的；内容充实的
2587,effectively,adv. 有效地，生效地；实际上；有力地
2608,routine,n. 例行公事；日常工作；程序
2625,ultimate,adj. 最终的；根本的；极限的
2628,valuable,adj. 贵重的；有价值的；可估价的
2647,draft,n. 草稿；汇票；草图；[篮球]选秀；vt. 起草，设计；为...打样
2665,universal,adj. 通用的；宇宙的；普遍的；全体的；全世界的
2680,roughly,adv. 粗糙地；概略地
2688,burden,n. 负担；责任；船的载货量
2709,bear,vi. 结果实；承受
2721,track,n. 足迹，踪迹；轨道；小道
2728,strategic,adj. 战略上的，战略的
2735,cousin,n. 堂兄弟姊妹；表兄弟姊妹
2738,initially,adv. 最初，首先；开头
2748,retain,vt. 保持；雇；记住
2750,incentive,n. 动机；刺激
2758,expansion,n. 膨胀；阐述；扩张物
2770,conservative,adj. 保守的
2772,square,adj. 直角的；正方形的；正直的；平方的
2773,stick,vt. 粘贴；刺，戳；伸出
2778,scenario,n. 情节；剧本；方案
2789,likely,adj. 很可能的；合适的；有希望的
2821,mutual,adj. 相互的，彼此的；共同的
2825,pride,n. 骄傲；自豪；自尊心
2838,relevant,adj. 有关的；中肯的；有重大作用的
2839,ideal,adj. 理想的；完美的；想象的；不切实际的
2860,craft,n. 手艺；工艺；太空船
2868,extensive,adj. 广泛的；广阔的；大量的
2934,violate,vt. 违反；侵犯，妨碍；亵渎
2939,vital,adj. 生死攸关的；至关重要的；有活力的
2941,fate,n. 命运
2952,radical,adj. 根本的；激进的；彻底的
2964,storage,n. 存储；仓库；贮藏所
2980,vulnerable,adj. 有弱点的；易受伤害的；易受攻击的，易受…的攻击
2994,gesture,n. 姿态；手势
3007,slight,adj. 轻微的，少量的；脆弱的；细长的；不重要的
3088,proportion,n. 比例；部分；均衡；面积
3091,maintenance,n. 维护，维修；保持；生活费用
3123,sufficient,adj. 足够的；充分的
3184,pitch,vi. 投掷；倾斜；坠落；搭帐篷
3186,brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的
3187,versus,prep. 对；与...相对；对抗
3222,arrival,n. 到达；到达者；到来
3223,legitimate,adj. 合法的；合理的；正当的；正统的
3225,inflation,n. 通货膨胀；膨胀；夸张；自命不凡
3234,depict,vt. 描画；描述
3241,borrow,vi. 借；借用；从其他语言中引入
3251,brush,n. 刷子；画笔；毛笔；争吵
3257,ease,vt. 减轻，缓和；使安心
3264,summit,n. 顶点；最高级会议；最高阶层
3266,odds,n. 不平等；几率；胜算；差别
3268,frustration,n. 挫折
3315,script,n. 手迹；脚本；书写用的字母
3322,venture,vt. 敢于
3330,exhibit,vt. 显示；展览；提出（证据等）
3333,margin,n. 边缘；利润，余裕；页边的空白
3338,concrete,adj. 实在的，具体的；有形的；混凝土的
3346,consensus,n. 一致；舆论；合意
3353,sake,n. 理由；日本米酒；利益；目的
3369,formula,n. 公式，准则；配方；婴儿食品
3374,square,adj. 直角的；正方形的；正直的；平方的
3385,tunnel,n. 隧道；坑道；洞穴通道
3395,makeup,n. 化妆品；组成；补充；补考
3400,decrease,n. 减少，减小；减少量
3406,hypothesis,n. 假设
3408,compose,vt. 使平静；构成；写作；排…的版
3449,brush,n. 刷子；画笔；毛笔；争吵
3478,evil,adj. 邪恶的；有害的；不幸的；讨厌的
3484,sponsor,n. 保证人；赞助者；主办者
3494,integrity,n. 正直；诚实；廉正；完整
3506,interior,n. 内部；本质
3513,pitch,vi. 投掷；倾斜；坠落；搭帐篷
3523,unemployment,n. 失业；失业人数；失业率
3543,administrative,adj. 管理的，行政的
3568,implementation,n. 履行；实现；安装启用
3583,lend,vt. 贷；增添，提供；把……借给
3584,plain,adj. 平的；朴素的；简单的；清晰的
3604,facilitate,vt. 促进；帮助；使容易
3608,overwhelming,adj. 压倒性的；势不可挡的
3609,integration,n. 综合；集成
3619,ownership,n. 所有权；物主身份
3625,arena,n. 竞技场；舞台
3645,infrastructure,n. 基础设施；公共建设；下部构造
3665,subject,n. 主题；科目；国民；主语
3677,limb,n. 肢，臂；枝干；分支
3704,trigger,vt. 触发；引发，引起
3708,virtual,adj. 实质上的，事实上的；虚拟的；[物]有效的
3732,undermine,vt. 破坏，渐渐破坏；挖掘地基
3745,intelligent,adj. 聪明的；智能的；理解力强的
3748,rhetoric,n. 修辞，修辞学；华丽的词藻
3754,praise,n. 称赞；赞扬；崇拜；荣耀
3773,trait,n. 特性，特点；品质；少许
3774,currency,n. 货币；通货
3785,thumb,vt. 以拇指拨弄；作搭车手势；笨拙地摆弄；翻阅
3790,exclusive,adj. 排外的；独有的；专一的
3794,rush,n. 匆促；急流；冲进；灯心草
3819,resume,n. 摘要；履历；个人简历
3824,delicate,adj. 微妙的；易碎的；清淡可口的；柔和的；精美的，雅致的；纤弱的
3845,portfolio,n. 文件夹；公文包；部长职务；证券投资组合
3860,exhibit,vt. 显示；展览；提出（证据等）
3883,determination,n. 决心；果断
3892,evil,adj. 邪恶的；有害的；不幸的；讨厌的
3893,acquisition,n. 获得物，获得
3899,primary,adj. 主要的；初级的；基本的
3911,decent,adj. 得体的；正派的；相当好的
3944,hint,n. 暗示；线索
3948,realm,n. 领域，范围；王国
3959,flip,vt. 轻击；掷
3964,metaphor,n. 比喻说法；暗喻，隐喻
3976,addition,n. 添加；增加物；加法
3990,interior,n. 内部；本质
4005,inventory,n. 存货，存货清单；详细目录；财产清册
4045,abstract,n. 抽象；摘要；抽象的概念
4055,romance,n. 浪漫史；冒险故事；传奇；风流韵事
4081,verbal,adj. 口头的；言语的；照字面的；动词的
4109,sacrifice,n. 牺牲；供奉；祭品
4117,credit,n. 信用，信誉；信任；贷款；声望；学分
4137,dynamics,n. 动力学，力学
4141,dignity,n. 尊严；高贵
4144,bubble,n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
4166,merchant,n. 商人，批发商；店主
4174,nest,n. 巢，窝；安乐窝；温床
4180,steam,vt. 蒸，散发；用蒸汽处理
4209,combined,adj. 结合的；组合的
4210,instantly,adv. 即刻地；立即地；马上地
4220,spite,n. 恶意；怨恨；不顾
4247,secure,adj. 安全的；无虑的；有把握的；稳当的
4279,draft,n. 草稿；汇票；草图；[篮球]选秀；vt. 起草，设计；为...打样
4286,instruct,vt. 命令；教授；指导；通知
4288,self-esteem,
4289,ease,vt. 减轻，缓和；使安心
4299,subsidy,n. 津贴；补助金；补贴
4325,workplace,n. 工作场所；车间
4328,utilize,vt. 利用
4331,ambitious,adj. 有雄心的；野心勃勃的；热望的；炫耀的
4351,accomplishment,n. 成就；完成；技艺，技能
4391,rival,n. 竞争者；对手
4422,exploit,vt. 开发，开拓；剥削；开采
4437,consent,vi. 同意；答应；赞成
4446,well-known,adj. 著名的；众所周知的；清楚明白的
4450,unprecedented,adj. 空前的；无前例的
4459,gross,adj. 总共的；粗野的；恶劣的；显而易见的
4484,innovative,adj. 革新的，创新的
4489,stimulate,vt. 刺激；鼓舞，激励
4496,sacrifice,n. 牺牲；供奉；祭品
4510,ideal,adj. 理想的；完美的；想象的；不切实际的
4525,nasty,adj. 下流的；肮脏的；脾气不好的；险恶的；n. 令人不快的事物；性的吸引力
4540,marketplace,n. 市场；市集；商场
4549,merit,n. 优点，价值；功绩；功过
4554,discount,n. 折扣；贴现率
4557,jungle,n. 丛林，密林；危险地带
4558,migration,n. 移动；迁移；移民
4574,journalism,n. 新闻业，新闻工作；报章杂志
4578,likewise,adv. 也；同样地
4584,boast,vt. 以有…而自豪；夸口说，自吹自擂说
4586,perceived,
4589,major,adj. 主要的；主修的；重要的；较多的
4611,mentor,n. 指导者，良师益友
4625,logical,adj. 逻辑学的；合逻辑的，合理的
4631,blank,adj. 空白的；空虚的；单调的
4632,commodity,n. 日用品；商品，货物
4652,toll,vt. 征收；敲钟
4666,sponsor,n. 保证人；赞助者；主办者
4669,demographic,adj. 人口统计学的；人口学的
4673,steer,vt. 驾驶；控制，引导
4678,outlet,n. 出口，排放孔；发泄的方法；销路；电源插座；批发商店
4680,vendor,n. 小贩；卖主；自动售货机
4689,comply,vi. 答应；遵守；顺从，遵从
4694,conscience,n. 道德心，良心
4698,scratch,n. 抓痕；擦伤；刮擦声；乱写
4719,municipal,adj. 市政的，市的；地方自治的
4740,plain,adj. 平的；朴素的；简单的；清晰的
4759,forum,n. 论坛，讨论会；法庭；公开讨论的广场
4802,screw,vt. 旋，拧；压榨；强迫
4829,ego,n. 自我；自我意识；自负
4835,availability,n. 可用性；有效性；实用性
4836,radar,n. 雷达，无线电探测器
4845,molecule,n. 分子；微小颗粒，微粒
4847,favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
4862,fatigue,n. 疲劳，疲乏；杂役
4867,preach,vt. 说教；讲道；传道；鼓吹；反复灌输
4955,sustainable,adj. 可以忍受的；足可支撑的；养得起的
4975,trim,vt. 修剪；整理；装点
4981,inherent,adj. 固有的；内在的；与生俱来的，遗传的
4982,praise,n. 称赞；赞扬；崇拜；荣耀
4987,vacuum,n. 真空；真空吸尘器；空间
4989,dictate,vt. 命令；口述；使听写
5010,retrieve,vt. 重新得到；恢复；检索
5013,campaign,vi. 作战；参加活动；参加竞选
5017,scrutiny,n. 监视；详细审查；细看；选票复查
5018,suppress,vt. 抑制；镇压；废止
5061,authentic,adj. 可信的；真正的，真实的
5070,subsequently,adv. 随后，其后；后来
5080,objective,adj. 客观的；目标的；[语法学]宾格的
5086,surge,n. 巨涌；大浪；汹涌澎湃
5118,upcoming,adj. 即将来临的
5123,strive,vi. 努力；奋斗；抗争
5134,commercial,adj. 商业的；营利的；靠广告收入的
5142,prosperity,n. 繁荣，成功
5148,accumulate,vi. 累积；积聚
5174,bar,n. 酒吧；条，棒；障碍
5177,inability,n. 无才能；无能力
5182,mandatory,adj. 命令的；强制的；托管的
5225,literacy,n. 读写能力；精通文学
5231,trillion,n. 万亿
5260,imagery,n. 比喻；意象；像；形象化
5262,pledge,n. 抵押；保证，誓言；抵押品，典当物
5267,hierarchy,n. 层级；等级制度
5300,trigger,vt. 触发；引发，引起
5305,certificate,vt. 发给证明书；以证书形式授权给…；用证书批准
5307,venture,vt. 敢于
5316,scream,vi. 尖叫；发出尖锐刺耳的声音；呼啸；令人触目惊心
5336,halt,vi. 停止；踌躇，犹豫；立定
5375,commerce,n. 贸易，商业
5381,established,adj. 已制定的，已建立的；确定的
5390,attain,vt. 达到，实现；获得；到达
5439,accommodation,n. 调节；住处，膳宿；和解；预订铺位
5468,flaw,n. 瑕疵，裂纹；缺点；一阵狂风
5487,prospective,adj. 未来的；预期的
5535,subject,n. 主题；科目；国民；主语
5547,statistically,adv. 统计地；统计学上
5558,spotlight,n. 聚光灯；反光灯；公众注意的中心
5574,prey,vi. 捕食；掠夺；折磨
5586,applicant,n. 申请人，申请者；请求者
5593,conceptual,adj. 概念上的
5605,nurture,vt. 养育；鼓励；培植
5621,concrete,adj. 实在的，具体的；有形的；混凝土的
5646,utterly,adv. 完全地；绝对地；全然地；彻底地，十足地
5660,mining,n. 矿业；采矿
5666,fundamentally,adv. 根本地，从根本上；基础地
5681,aspiration,n. 渴望；抱负；呼气；吸引术
5686,inclined,adj. 趋向于…的
5715,diplomacy,n. 外交；外交手腕；交际手段
5746,unconscious,adj. 失去知觉的；不省人事的；未发觉的；无意识的
5756,tech,n. 技术学院或学校
5795,accountable,adj. 有责任的；有解释义务的；可解释的
5837,legitimacy,n. 正统；合法；合理
5853,miserable,adj. 悲惨的；痛苦的；卑鄙的
5865,harbor,vt. 庇护；怀有
5866,coaching,n. 辅导；教练技术
5898,justification,n. 理由；辩护；认为有理，认为正当；释罪
5902,niche,n. 壁龛；合适的职业
5925,pledge,n. 抵押；保证，誓言；抵押品，典当物
5970,integral,adj. 完整的，整体的；[数学]积分的
5974,forecast,vt. 预报，预测；预示
5995,analogy,n. 类似；类推；类比
6077,credible,adj. 可靠的，可信的
6085,warrant,n. 正当理由；根据；委任状；证明
6088,embed,vt. 栽种；使嵌入，使插入；使深留脑中
6092,bundle,n. 捆；束
6133,gauge,n. 计量器；标准尺寸；容量规格
6154,warrant,n. 正当理由；根据；委任状；证明
6182,staff,n. 职员；支撑；参谋；棒
6203,exert,vt. 运用，发挥；施以影响
6204,naive,adj. 天真的，幼稚的；轻信的
6223,convincing,adj. 令人信服的；有说服力的
6252,endeavor,n. 努力；尽力（等于endeavour）
6314,prone,adj. 有…倾向的，易于…的；俯卧的
6353,tense,adj. 拉紧的；紧张的
6369,scratch,n. 抓痕；擦伤；刮擦声；乱写
6406,decrease,n. 减少，减小；减少量
6410,decisive,adj. 决定性的；果断的，坚定的
6420,jealous,adj. 妒忌的；唯恐失去的；猜疑的；戒备的
6429,dash,n. 破折号；冲撞
6437,bait,vt. 引诱；在…中放诱饵；折磨
6483,collaborate,vi. 合作；勾结，通敌
6486,follow-up,
6499,hint,n. 暗示；线索
6507,spoil,vt. 溺爱；糟蹋；掠夺
6511,navigate,vt. 航行于；驾驶，操纵；使通过
6512,robust,adj. 强健的；健康的；粗野的；粗鲁的
6531,genuinely,adv. 真诚地；诚实地
6533,petty,adj. 小规模的；小气的；琐碎的
6542,bureaucratic,adj. 官僚政治的；官僚的
6543,long-standing,adj. 长期存在的；存在已久的
6550,spur,n. 马刺；鼓舞，刺激；山坡
6566,governance,n. 统治；支配；管理
6593,leverage,n. 杠杆作用；杠杆效率；手段，影响力
6619,pillar,n. 柱子，柱形物；栋梁；墩
6620,adhere,vi. 坚持；粘着；依附；追随
6630,surge,n. 巨涌；大浪；汹涌澎湃
6650,craft,n. 手艺；工艺；太空船
6668,hub,n. 中心；毂；木片
6682,blouse,n. 宽松的上衣；女装衬衫
6691,brochure,n. 手册，小册子
6709,rival,n. 竞争者；对手
6718,workforce,n. 劳动力；工人总数，职工总数
6733,advancement,n. 前进，进步；提升
6734,radical,adj. 根本的；激进的；彻底的
6780,stream,n. 溪流；流动；光线；潮流
6867,allocate,vt. 分配；拨出；使坐落于
6882,pervasive,adj. 普遍的；到处渗透的
6968,surpass,vt. 胜过，优于；超越；非…所能办到或理解
6972,gossip,n. 小道传闻；随笔；爱说长道短的人
7034,elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
7044,gesture,n. 姿态；手势
7104,dedication,n. 奉献；献身
7105,follow-up,
7109,halt,vi. 停止；踌躇，犹豫；立定
7169,authoritarian,adj. 独裁主义的；权力主义的
7197,dire,adj. 可怕的；极端的；悲惨的
7202,high-profile,
7249,screw,vt. 旋，拧；压榨；强迫
7289,harbor,vt. 庇护；怀有
7296,dwell,vi. 居住；存在于；细想某事
7298,forecast,vt. 预报，预测；预示
7300,tangible,adj. 有形的；可触摸的；切实的
7306,swiftly,adv. 很快地；即刻；敏捷地
7321,huddle,vt. 把...挤在一起；使缩成一团；草率了事
7351,disposition,n. 性情；倾向；处置；部署
7355,allegiance,n. 忠贞；效忠，忠诚
7370,wholesale,adj. 批发的；大规模的
7405,dash,n. 破折号；冲撞
7416,betrayal,n. 背叛；辜负；暴露
7423,traumatic,adj. 外伤的；创伤的
7426,showcase,n. 陈列橱，陈列柜；显示优点的东西
7430,setback,n. 挫折；逆流；退步
7455,openness,n. 公开；宽阔；率真
7470,voluntarily,adv. 以自由意志；自动地
7475,analytical,adj. 分析的；解析的；善于分析的
7485,ignorant,adj. 无知的；愚昧的
7493,raised,adj. 凸起的；浮雕的；发酵的
7517,selfish,adj. 自私的；利己主义的
7584,constructive,adj. 建设性的；推定的；构造上的；有助益的
7612,persistence,n. 持续；存留；固执
7626,rhetorical,adj. 修辞学的；修辞的；夸张的
7637,morale,n. 士气，斗志
7644,pragmatic,adj. 实用主义的；实际的；国事的
7658,comedian,n. 喜剧演员；滑稽人物
7659,subsidiary,adj. 辅助的；附属的
7670,collectively,adv. 共同地，全体地
7689,capture,vt. 俘获；夺得
7692,avert,vt. 避免，防止；转移
7726,empathy,n. [心]神入；移情作用
7738,reap,vt. 收割；收获，获得
7815,inherently,
7849,mesh,n. 网眼；网丝；圈套
7871,informed,adj. 消息灵通的；见多识广的
7878,nudge,n. 用肘轻推；推动；没完没了抱怨的人
7883,endurance,n. 忍耐；持久；耐久；忍耐力
7903,offshore,adj. 近海的；离岸的；吹向海面的
7916,initial,adj. 最初的；字首的
7933,rehearse,vt. 排练；预演
8044,simulate,vt. 模仿；假装；冒充
8046,intrigue,n. 阴谋；诡计；复杂的事；私通
8052,stature,n. 身高，身材；（精神、道德等的）高度
8110,specific,adj. 特殊的，特定的；明确的；详细的；具有特效的
8114,executive,adj. 执行的，经营管理的；行政的；经营的
8203,blessed,adj. 受祝福的；神圣的；幸福的
8207,glamorous,adj. 迷人的，富有魅力的
8213,benchmark,n. 基准；[计]标准检查程序
8223,conversely,adv. 相反地
8248,sniper,n. 狙击兵
8269,aura,n. 气氛；气味；光环；[医]（中风等的）预兆
8276,drastic,adj. 激烈的；猛烈的
8282,advent,n. 到来；出现；基督降临；基督降临节
8321,square,adj. 直角的；正方形的；正直的；平方的
8340,trivial,adj. 不重要的，琐碎的；琐细的
8347,deception,n. 欺骗，欺诈；骗术
8366,arrogance,n. 自大；傲慢态度
8367,start-up,
8394,irrational,adj. 无理性的；不合理的；荒谬的
8416,stifle,vt. 使窒息；扼杀；藏匿
8429,inclination,n. 倾向，爱好；斜坡
8530,imperative,adj. 必要的，势在必行的；命令的；紧急的
8586,transitional,adj. 过渡期的；变迁的
8587,empowerment,
8588,discount,n. 折扣；贴现率
8618,diploma,n. 毕业证书，学位证书；公文，文书；奖状
8624,trim,vt. 修剪；整理；装点
8650,sensory,adj. 感觉的；知觉的；传递感觉的
8663,consolidation,n. 巩固；合并；团结
8705,charismatic,adj. 神赐能力的；超凡魅力的
8719,diversify,vt. 使多样化，使变化；增加产品种类以扩大
8730,clout,n. 破布；敲打；影响力；势力；vt. 给…打补钉；猛击
8731,rival,n. 竞争者；对手
8765,handicap,n. 障碍；不利条件，不利的因素
8766,decision-making,
8800,package,n. 包，包裹；套装软件，程序包
8805,decision-making,
8824,lending,n. 出借；出借物
8837,spacious,adj. 宽敞的，广阔的；无边无际的
8853,incidentally,adv. 偶然地；附带地；顺便
8859,avid,adj. 渴望的，贪婪的；热心的
8938,brokerage,n. 回扣；佣金；中间人业务
8981,internally,adv. 内部地；内在地；国内地
8990,hierarchical,adj. 分层的；等级体系的
9013,prudent,adj. 谨慎的；节俭的；精明的
9017,unanimous,adj. 无异议的；意见一致的；全体一致的
9055,longevity,n. 寿命；长寿，长命
9065,intellectually,adv. 智力上；知性上；理智地
9071,greatness,n. 巨大；伟大
9083,flip,vt. 轻击；掷
9108,storytelling,
9128,tense,adj. 拉紧的；紧张的
9147,congestion,n. 充血；拥塞；拥挤
9179,mitigate,vt. 使缓和，使减轻
9196,grit,vt. 研磨；在…上铺砂砾
9243,confidentiality,n. 机密，机密性
9306,stunt,n. 绝技；噱头，手腕
9323,binding,n. 捆绑；装订；粘合物
9328,scam,n. 骗局，诡计；故事
9468,chic,n. 时髦；别致的款式
9495,sponsorship,n. 保证人的地位；发起；赞助；教父母身份
9535,world-class,
9540,multilateral,
9580,impetus,
9587,weather,n. 天气；气象；处境；气候
9594,invasive,adj. 侵略性的；攻击性的
9651,intimidating,
9669,hasten,vt. 催促；使赶紧；加速
9675,hesitant,adj. 踌躇的；迟疑的；犹豫不定的
9678,noteworthy,adj. 显著的；值得注意的
9711,humility,n. 谦卑，谦逊
9732,throughout,adv. 自始至终，到处；全部
9743,ascend,vi. 上升；登高；追溯
9772,persuasion,n. 说服；信念；派别；说服力
9791,subtly,adv. 敏锐地；精细地；巧妙地
9793,magnify,vt. 放大；赞美；夸大
9805,outburst,n. （火山、情感等的）爆发；破裂
9812,deflect,vt. 使偏斜；使转向；使弯曲
9819,defining,adj. 最典型的；起决定性作用的
9821,lofty,adj. 崇高的；高级的；高的；高傲的
9886,savvy,n. 悟性；理解能力
9888,finite,adj. 有限的；限定的
9970,backbone,n. 决心，毅力；支柱；脊椎；[计]主干网
9983,resume,n. 摘要；履历；个人简历
10020,burden,n. 负担；责任；船的载货量
10036,merit,n. 优点，价值；功绩；功过
10045,combustion,n. 燃烧，氧化；骚动
10100,managerial,adj. 管理的；经理的
10146,obedience,n. 顺从；服从；遵守
10154,steam,vt. 蒸，散发；用蒸汽处理
10156,disseminate,vt. 散布；宣传，传播
10158,witty,adj. 诙谐的；富于机智的
10188,imperative,adj. 必要的，势在必行的；命令的；紧急的
10192,short-lived,
10196,unconventional,adj. 非常规的；非传统的；不依惯例的
10210,analog,n. 类似物；模拟
10231,traction,n. 牵引；牵引力
10257,template,n. 模板，样板
10282,immensely,
10292,bubble,n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
10293,pitching,n. 铺地石；俯仰；[棒]投手投球
10309,proactive,
10315,invaluable,adj. 无价的；非常贵重的
10321,infusion,n. 灌输；注入物；浸泡；激励
10353,sanitation,n. 环境卫生；卫生设备；下水道设施
10358,coupon,n. 息票；赠券；联票；配给券
10440,decipher,n. 密电译文
10461,offshore,adj. 近海的；离岸的；吹向海面的
10472,spur,n. 马刺；鼓舞，刺激；山坡
10502,barrage,n. 弹幕；阻塞；齐射式攻击；拦河坝
10556,prehistoric,adj. 陈旧的；史前的
10574,misfortune,n. 不幸；灾祸，灾难
10592,inception,n. 起初；获得学位
10629,trim,vt. 修剪；整理；装点
10699,discipline,n. 纪律；学科；训练；惩罚
10729,shortfall,n. 缺少；差额
10732,progressively,adv. 渐进地；日益增多地
10740,pride,n. 骄傲；自豪；自尊心
10764,tedious,adj. 冗长乏味的；沉闷的
10821,resilience,n. 弹力；恢复力；顺应力
10906,resilient,adj. 弹回的，有弹力的
10930,bundle,n. 捆；束
10950,simplistic,adj. 过分单纯化的；过分简单化的
10970,glean,vt. 收集（资料）；拾（落穗）
11017,recruiter,n. 招聘人员，征兵人员
11034,nest,n. 巢，窝；安乐窝；温床
11035,attire,n. 服装；盛装
11045,synonymous,adj. 同义的；同义词的；同义突变的
11057,overboard,adv. 自船上落下；向船外
11063,routine,n. 例行公事；日常工作；程序
11094,hygiene,n. 卫生学；卫生；保健法
11216,sincerity,n. 真实，诚挚
